Date,Water_UnitSales,Alcohol_UnitSales
12/18/2022,138266243.00,149586954.00
12/25/2022,144279443.00,169869929.00
1/1/2023,136239961.00,152103260.00
1/8/2023,141446966.00,128961988.00
1/15/2023,143385035.00,132843748.00
1/22/2023,141226184.00,134677522.00
1/29/2023,136461230.00,134492932.00
2/5/2023,139558466.00,135418065.00
2/12/2023,146050596.00,146160762.00
2/19/2023,145197998.00,140596303.00
2/26/2023,147815633.00,138961601.00
3/5/2023,150611897.00,142478224.00
3/12/2023,152323694.00,145323486.00
3/19/2023,147828931.00,145530832.00
3/26/2023,149383241.00,146179219.00
4/2/2023,156394348.00,149513810.00
4/9/2023,162491665.00,157771920.00
4/16/2023,165322581.00,154145962.00
4/23/2023,161471188.00,152859395.00
4/30/2023,158189353.00,153669540.00
5/7/2023,162845509.00,158062679.00
